Date,Ave.T,Max.T,Min.T,Prec(mm),Press(Hpa),Wind dir,Wind sp (km/h),Cloud.c
8/23/2022,24.9,33.3,16.5,2,1014.5,342,5,2.1
8/22/2022,28.3,33.3,23.3,0,1006.9,5,7,2
8/21/2022,25.8,31.4,20.2,31.9,1000.7,106,7,2
8/20/2022,25.9,31.7,20.2,0,1006.8,195,9,2
8/19/2022,27.1,31.7,22.6,0,1004.4,1,7,2
8/18/2022,26.6,30.7,22.6,9.9,999.4,184,4,2
8/17/2022,25.4,31,19.9,7,1005.3,182,7,2
8/16/2022,27.5,35.1,19.9,0,1007.2,180,7,2
8/15/2022,29.2,35.1,23.3,2,1002.3,344,6,2
8/14/2022,28,32.4,23.6,6.1,998.9,52,5,2
8/13/2022,28.3,32.4,24.2,3.7,1004.1,119,6,2
8/12/2022,26.2,31.7,20.8,0,1003.4,104,6,2
8/11/2022,24.8,31.7,17.9,0,1003.2,197,7,2
8/10/2022,24,30.1,17.9,0,1005.1,215,6,2
8/9/2022,23.5,27.8,19.2,2,1009.3,237,7,2
8/8/2022,28.9,32.7,25.1,4.3,1008.3,25,5,2
8/7/2022,29.2,33.3,25.1,0.4,1000.9,175,7,2
8/6/2022,30.9,36.7,25.1,30.8,1000.9,210,5,2
8/5/2022,30.9,36.7,25.1,0,1001.7,205,5,2
8/4/2022,31.6,35.5,27.7,11.2,1003.1,155,9,2
8/3/2022,30.9,35.5,26.4,0,1005.2,196,7,2
8/2/2022,29.9,34.3,25.6,0,1005.7,188,8,2
8/1/2022,29.6,34.1,25.1,0,1005,184,5,2
7/31/2022,28.4,33,23.7,0,1004.9,178,6,2
7/30/2022,26.6,31.6,21.6,0,1007.2,97,6,2
7/29/2022,26,31.6,20.4,0,1008.3,159,6,2
7/28/2022,24.9,29.3,20.4,0,1006.7,62,5,2
7/27/2022,27.6,33.3,21.8,101.5,1007.8,22,7,2
7/26/2022,28.3,33.3,23.3,47,1006,137,8,2
7/25/2022,28.1,33.5,22.8,0,1005,178,5,2
7/24/2022,27.9,33.5,22.3,0,1002.4,238,6,2
7/23/2022,26.9,32.3,21.5,0,1002.1,242,7,2
7/22/2022,27.9,33.3,22.4,12.9,1006.3,270,6,2
7/21/2022,27.9,33.3,22.4,0,1006.9,171,6,2
