Date,Ave.T,Max.T,Min.T,Prec(mm),Press(Hpa),Wind dir,Wind sp (km/h),Cloud.c
2022-08-23,37.6,43.3,32,0,999.7,127,8,2
2022-08-22,37.3,42.6,32,0,997.7,87,7,2
2022-08-21,39,43.4,34.7,0,996.2,162,14,2
2022-08-20,39.2,43.7,34.8,0,997.4,155,9,2
2022-08-19,39,43.7,34.2,0,997.5,51,7,2
2022-08-18,38.7,43.2,34.2,0,996,147,11,2
2022-08-17,38,43.2,32.9,0,996,145,10,2
2022-08-16,37.9,42.9,32.9,0,997.3,124,7,2
2022-08-15,37.8,42.7,32.8,0,998,333,6,2
2022-08-14,37.7,42.7,32.7,0,997.8,128,8,2
2022-08-13,37.7,42.7,32.7,0,997,124,9,2
2022-08-12,37.1,41.3,32.9,0,998.5,146,11,2
2022-08-11,37.4,41.5,33.2,0,999.7,145,11,2
2022-08-10,37,41.5,32.6,0,999.3,147,6,2
2022-08-09,36,41.5,30.5,0,997.9,132,8,2
2022-08-08,35.5,40.6,30.3,0,998.9,1,6,2
2022-08-07,33.4,39.2,27.5,0,999.9,133,9,2
2022-08-06,33.1,38.8,27.5,0,1000.9,120,7,2
2022-08-05,34.6,41,28.2,6.1,1001.6,306,8,2
2022-08-04,34.6,41,28.3,0,1000.9,169,9,2
2022-08-03,34,39.7,28.3,0,1000.8,73,6,2
2022-08-02,34.5,39.9,29,1,1001.7,324,7,2
2022-08-01,34.6,39.9,29.3,0,999.4,103,7,2
2022-07-31,34.2,39.8,28.6,0,999,94,5,2
2022-07-30,33.6,39.2,28,0,999.7,121,6,2
2022-07-29,32.7,38.5,26.9,0,1001.8,326,6,2
2022-07-28,31.5,36.1,26.9,0,1003.7,332,5,2
2022-07-27,33.2,39.7,26.8,0,1004.2,34,7,2
2022-07-26,33.2,39.7,26.8,0,997.9,37,6,2
2022-07-25,32.7,39.4,26,0.1,999.9,273,6,2
2022-07-24,29.8,36.3,23.2,0,1001.4,321,5,2
2022-07-23,26.1,29,23.2,0,1005.8,304,5,2
2022-07-22,29.8,34.9,24.6,0,1008,280,8,2
2022-07-21,29.7,34.9,24.5,0,1003.4,287,5,2
2022-07-20,27.8,31.1,24.5,0,1005.6,247,6,2
2022-07-19,26.3,27.8,24.8,0,1003,272,7,2
2022-07-18,30.9,36.2,25.7,63.5,1000.1,295,6,2
2022-07-17,35.5,39.4,31.7,40.8,998.7,313,7,2
2022-07-16,36.2,39.9,32.5,0,996.2,334,8,2
2022-07-15,37,40.9,33.2,0,994.9,95,7,2
2022-07-14,37.1,41.3,33,0,995.8,126,8,2
2022-07-13,37,41.3,32.6,0,995.2,133,9,2
2022-07-12,36.5,40.4,32.6,0,994.1,112,8,2
2022-07-11,36,40.2,31.8,0,993.9,136,7,2
2022-07-10,35.5,40,31,0,995.4,136,8,2
2022-07-09,34.4,39.5,29.2,0,996.7,144,9,2
2022-07-08,34,39.1,28.9,0,999,72,5,2
2022-07-07,33.9,39.4,28.3,0,999.8,23,7,2
2022-07-06,33.7,39.4,28,0,999.2,336,6,2
