Date,Ave.T,Max.T,Min.T,Prec(mm),Press(Hpa),Wind dir,Wind sp (km/h),Cloud.c
6/27/2022,27.1,32,22.3,8.4,996.3,27,5,2
6/26/2022,30.4,39.2,21.6,11.8,1000.5,79,9,2
6/25/2022,29.9,39.2,20.6,0,994.6,154,7,2
6/24/2022,29.2,37.8,20.6,0,996.4,204,8,2
6/23/2022,28.7,36.4,21,0,997.5,40,8,2
6/22/2022,28.9,33.8,24.1,3.5,999.7,60,6,2
6/21/2022,28.9,34.9,22.8,0,999,51,8,2
6/20/2022,28.4,34.9,21.8,0,998.7,99,6,2
6/19/2022,26.8,32.2,21.4,0,1003.5,119,7,2
6/18/2022,26.1,32.2,20,1.1,1003.3,87,8,2
6/17/2022,25.4,30.9,20,2,1000.7,96,9,2
6/16/2022,24.7,30.1,19.3,0,1002.5,83,7,2
6/15/2022,22.9,27.6,18.3,0,1005.7,169,7,2
6/14/2022,21.8,27,16.5,2,1006.1,56,6,2
6/13/2022,21.8,27.1,16.5,0,1004.5,70,6,2
6/12/2022,22.9,27.1,18.8,21.8,1004,142,9,2
6/11/2022,23.7,28.4,19,16.6,1008.8,108,7,2
6/10/2022,22.9,28.4,17.3,7.6,1009.4,94,8,2
6/9/2022,21.2,25.1,17.3,0,1008.4,122,5,2
6/8/2022,21.8,26.6,17,0,1009.4,83,9,2
6/7/2022,22.7,28.4,17,0,1007.8,146,7,2
6/6/2022,26.8,34.6,19,0,1006.8,26,10,2
6/5/2022,26.8,34.6,19,0,999.7,345,13,2
6/4/2022,28.3,35.4,21.2,0.3,1001.1,63,7,2
6/3/2022,26.2,35.8,16.6,0,1001,53,7,2
6/2/2022,25.6,35.8,15.3,0,1001.9,114,8,2
6/1/2022,24.3,33.9,14.7,0,1002.2,240,7,2
5/31/2022,22,31.9,12.1,0,1000.6,64,5,2
5/30/2022,22,31.9,12.1,0,1001.5,236,6,2
5/29/2022,28.2,35.3,21.1,2,1000.8,326,8,2
5/28/2022,25.7,35.3,16.1,0,992.8,197,12,2
5/27/2022,24.4,34.9,13.8,0,996.7,206,11,2
5/26/2022,23.9,34,13.8,0,1000.8,351,8,2
5/25/2022,25.4,31.9,19,0,1010.7,257,10,2
5/24/2022,25.6,32.3,19,2,1007.5,246,12,2
5/23/2022,26.1,34,18.2,0,1007.1,213,8,2
5/22/2022,25.8,34.6,16.9,0,1004.1,195,6,2
5/21/2022,25.8,34.6,16.9,0,1003.9,206,8,2
5/20/2022,23.6,32.3,15,0,1007.2,192,7,2
5/19/2022,21.7,30.1,13.3,0,1010,193,6,2
5/18/2022,21.4,30.1,12.6,0,1012.5,150,6,2
5/17/2022,19.1,29.2,9.1,0,1005.6,76,8,2
5/16/2022,18.8,28.9,8.7,0,1005.8,169,8,2
5/15/2022,17.8,27.4,8.2,0,1010.3,257,7,2
5/14/2022,15.8,24.6,7,0,1016.3,6,6,2
5/13/2022,15.8,24.6,7,0,1013,305,9,2
5/12/2022,14.6,20.7,8.4,0,1015,214,8,2
5/11/2022,14.6,20.7,8.4,0,1016.7,230,11,2
5/10/2022,13.4,19.1,7.8,0,1014.6,276,6,2
5/9/2022,13.4,19.1,7.8,0,1017.5,167,8,2
5/8/2022,12.8,18.8,6.7,0.2,1022.6,225,5,2
5/7/2022,12.8,18.8,6.7,6.6,1025,171,9,2
5/6/2022,20.1,30,10.1,4.3,1021.3,80,7,2
5/5/2022,23.7,32.9,14.5,0.1,1005.6,191,10,2
5/4/2022,21.9,32.9,10.9,0,1004,193,11,2
5/3/2022,20.7,32,9.4,0,1006.3,199,10,2
5/2/2022,16.7,26.3,7.1,0,1013.4,109,7,2
5/1/2022,16.5,25.9,7.1,0,1012.6,324,6,2
4/30/2022,16.6,22.8,10.4,0,1018.9,277,9,2
4/29/2022,13.2,18.6,7.8,0,1019.6,248,11,2
