Date,Ave.T,Max.T,Min.T,Prec(mm),Press(Hpa),Wind dir,Wind sp (km/h),Cloud.c
8/23/2022,31.1,36.8,25.4,0,1004.8,351,7,2
8/22/2022,29.9,35.2,24.7,0.1,1006.8,343,6,2
8/21/2022,28.9,33,24.7,0,1008,159,8,2
8/20/2022,29.4,33.9,24.9,20.1,1008,87,5,2
8/19/2022,29.4,33.9,24.8,1.1,1005.4,74,6,2
8/18/2022,29.1,33.3,24.8,2,1005.7,39,6,2
8/17/2022,29.8,34.4,25.2,0.1,1006.1,44,5,2
8/16/2022,30.4,35.7,25.2,0,1006.1,8,6,2
8/15/2022,30.2,35.7,24.7,0,1005.9,94,5,2
8/14/2022,28.9,34.5,23.3,0,1006.9,33,3,2
8/13/2022,27.7,32.1,23.3,2,1008.1,341,4,2
8/12/2022,26.2,28.9,23.6,13.2,1009.1,35,4,2
8/11/2022,27.5,30.9,24.1,14.7,1008.7,51,4,2
8/10/2022,27.5,30.9,24.1,54,1005.5,102,10,2
8/9/2022,29.4,34.7,24.1,16.9,1004.6,60,10,2
8/8/2022,29.4,35,23.9,15.9,1006.7,15,8,2
8/7/2022,29.4,35,23.9,0,1007,65,7,2
8/6/2022,28.5,32.5,24.5,2.7,1007.8,35,6,2
8/5/2022,28,31.1,24.9,2,1007.9,122,7,2
8/4/2022,29,33,25,31.4,1004.9,70,9,2
8/3/2022,31.6,37.7,25.6,2.3,1006.4,3,6,2
8/2/2022,31.9,37.9,25.9,5.8,1007,339,5,2
8/1/2022,30.9,37.9,24,0,1006.1,337,6,2
7/31/2022,30.4,36.7,24,0,1004.5,325,5,2
7/30/2022,31.4,38,24.8,1,1004.5,328,8,2
7/29/2022,32.3,38.1,26.5,0,1004.6,355,6,2
7/28/2022,32.3,38.1,26.5,0,1005.4,1,4,2
7/27/2022,32.2,37,27.4,0,1006.8,168,5,2
7/26/2022,32.4,38,26.8,0,1007,187,9,2
7/25/2022,32.4,38,26.8,0,1007.3,126,6,2
7/24/2022,32,38,26,0,1006.8,359,5,2
7/23/2022,31.6,37.9,25.2,0,1007.9,3,5,2
7/22/2022,31.6,37.9,25.2,0,1010.1,331,6,2
7/21/2022,30.4,35.3,25.6,2,1012,173,8,2
7/20/2022,30.2,34.4,26,2,1010.3,165,13,2
7/19/2022,30.7,34.1,27.3,1.1,1007,150,9,2
7/18/2022,31.6,34.8,28.4,0.1,1004.4,157,10,2
7/17/2022,30.4,34.9,25.9,0.4,1004.5,202,10,2
7/16/2022,30.8,36,25.5,0.1,1005.5,191,10,2
7/15/2022,30.5,36.1,24.9,30.6,1006.3,354,4,2
7/14/2022,30.4,36.1,24.7,0,1005.6,197,6,2
7/13/2022,30.3,36.1,24.5,0,1005.6,0,5,2
7/12/2022,30,35.5,24.5,0,1006.6,49,5,2
7/11/2022,29.9,34.9,25,0,1007.7,36,7,2
7/10/2022,30.1,34.9,25.2,0,1006.6,116,7,2
7/9/2022,29.8,34.4,25.2,5.3,1006.1,19,5,2
7/8/2022,29.6,34,25.1,0,1007,78,5,2
7/7/2022,28.1,31.2,25.1,31.1,1007.7,115,5,2
7/6/2022,28.6,30.5,26.7,7.5,1005.7,133,6,2
7/5/2022,28.1,30.4,25.9,1.4,1003.8,155,8,2
7/4/2022,27.2,29,25.4,5,1001.6,167,11,2
7/3/2022,26.8,29,24.5,38,1000,156,15,2
7/2/2022,27.9,31.4,24.5,71,998.8,111,18,2
7/1/2022,28.4,31.8,25.1,7.3,1001.2,52,12,2
6/30/2022,30.1,35.8,24.5,2,1003.6,9,6,2
6/29/2022,30.1,35.8,24.5,0.1,1003,67,6,2
6/28/2022,30.1,34.8,25.5,2,1004.1,151,5,2
6/27/2022,29.7,33.9,25.5,2,1007.1,163,12,2
6/26/2022,29.7,34.7,24.7,3.2,1009,163,8,2
6/25/2022,29.8,35,24.5,0,1007.6,178,11,2
6/24/2022,29.8,35,24.5,0,1007.7,154,7,2
6/23/2022,30.6,34.4,26.8,0,1009.8,173,8,2
6/22/2022,30.5,34.1,26.9,0,1009.8,162,9,2
6/21/2022,28.4,29.6,27.1,0,1006.2,151,11,2
6/20/2022,28.6,30.6,26.7,15,1003.5,153,11,2
6/19/2022,28,30.6,25.4,2,1004.9,155,10,2
6/18/2022,28.4,31.3,25.4,14.5,1005.7,156,14,2
6/17/2022,27.2,31.3,23.1,0.2,1006.3,177,13,2
6/16/2022,26.8,30.5,23.1,3.5,1007.9,160,8,2
6/15/2022,27,30.5,23.5,32.4,1009.4,113,4,2
6/14/2022,28.6,32.6,24.5,19.5,1007.6,286,5,2
6/13/2022,28.2,32.6,23.9,59.5,1005.4,158,9,2
6/12/2022,26.9,30,23.9,11.7,1006.4,185,9,2
6/11/2022,26.9,28.9,24.9,4.7,1006.4,158,7,2
6/10/2022,26.4,28.9,23.9,3.3,1005.1,158,6,2
6/9/2022,26.1,29,23.3,73.1,1004.6,167,5,2
6/8/2022,26.1,29,23.3,2.8,1004.9,140,6,2
6/7/2022,27.6,31.7,23.5,48.3,1005,103,4,2
6/6/2022,28,32.4,23.6,25.2,1003.5,273,5,2
6/5/2022,29.6,32.4,26.9,0,1003.3,176,12,2
6/4/2022,29.1,32.4,25.8,0.1,1004.7,159,9,2
6/3/2022,28.6,31.9,25.4,9.7,1004.8,146,9,2
6/2/2022,27.8,31.1,24.4,14.4,1005.5,171,11,2
6/1/2022,28.1,31.9,24.4,39.9,1006.4,157,7,2
5/31/2022,29.2,33.3,25.2,2,1007,157,9,2
