Date,Ave.T,Max.T,Min.T,Prec(mm),Press(Hpa),Wind dir,Wind sp (km/h),Cloud.c
8/23/2022,31.6,38.9,24.3,0,1008.9,21,13,7
8/22/2022,32.5,38.9,26.1,0,1003.1,234,8,2
8/21/2022,32.5,38.9,26.1,0,1003.9,143,9,1
8/20/2022,34.2,39.2,29.2,0,1005.7,31,11,5
8/19/2022,33.2,39.2,27.3,0,1002.8,248,9,3
8/18/2022,32.1,37.6,26.6,0,1003.8,126,10,1
8/17/2022,31.6,36.7,26.6,0,1006.3,111,12,5
8/16/2022,34.6,39.7,29.6,0,1004.9,70,11,6
8/15/2022,35.1,40.4,29.9,0,1002.1,231,9,1
8/14/2022,35.3,40.4,30.2,0,1003.5,210,8,0
8/13/2022,35.2,40,30.5,0,1004.2,214,7,3
8/12/2022,35,40,29.9,0,1004.7,232,7,1
8/11/2022,34.4,39.3,29.5,0,1005.6,242,8,1
8/10/2022,34.1,39.1,29.1,0,1005.3,272,7,2
8/9/2022,34.1,39.1,29.1,0,1005.1,162,7,2
8/8/2022,32.8,38.2,27.3,0,1005.1,146,10,1
8/7/2022,32.8,38.2,27.3,0,1004.6,190,8,2
8/6/2022,34.7,38.8,30.6,0,1005,216,9,2
8/5/2022,33.9,38.8,29,0,1005.6,258,8,2
8/4/2022,33.4,38.2,28.6,0,1006.2,130,7,1
8/3/2022,32.8,37.1,28.5,0,1006.9,125,9,2
8/2/2022,31.4,36.6,26.3,0,1007.2,96,8,3
8/1/2022,30.5,35,26,0,1006,65,7,3
7/31/2022,30.4,34.8,26,0,1003.7,360,9,3
7/30/2022,30,34.8,25.2,0,1004.1,59,8,3
7/29/2022,31.4,37.5,25.2,3,1006.3,69,10,3
7/28/2022,30.9,37.5,24.3,0,1005.5,130,12,3
7/27/2022,29.7,35.1,24.3,0,1005.4,96,5,2
7/26/2022,30.5,36.2,24.8,21.8,1005.2,165,6,4
7/25/2022,30.5,36.2,24.8,0,1006.2,144,9,3
7/24/2022,29.5,34.2,24.8,0,1006.6,66,7,3
7/23/2022,29.9,35.2,24.5,0,1005,292,13,5
7/22/2022,29.9,35.2,24.5,0,1006,148,5,2
7/21/2022,30.1,35.7,24.6,4.4,1009.4,278,5,3
7/20/2022,30.5,35.7,25.3,11.3,1005.6,285,12,7
7/19/2022,29.9,34.4,25.3,0,1003.9,157,8,5
7/18/2022,30.8,35.4,26.1,0,1002.1,40,7,4
7/17/2022,31.2,35.4,27,0,998.4,277,10,7
7/16/2022,33.6,38.3,28.9,0,1000.3,116,9,4
7/15/2022,34.5,38.3,30.6,0,1000.7,18,8,4
7/14/2022,34.3,38,30.6,0,1001.8,263,6,4
7/13/2022,34.5,39.2,29.7,0,1002.4,236,8,1
7/12/2022,32.5,39.2,25.8,0,1002.9,230,7,2
7/11/2022,31.8,38.5,25,0,1004.2,168,5,1
7/10/2022,32.9,38.3,27.5,6.3,1002.7,214,9,2
7/9/2022,32,35.2,28.8,0,1002.9,164,7,3
7/8/2022,30.7,34.9,26.5,0,1003.9,241,9,5
7/7/2022,29.9,33.4,26.5,0.1,1005.2,226,6,4
7/6/2022,30.8,34,27.5,0.3,1001.7,250,10,5
7/5/2022,30.8,34.5,27,0,999.1,147,10,6
7/4/2022,30.4,34.5,26.2,0.3,1001.9,107,10,6
7/3/2022,29.9,33.7,26.2,0,1003.1,117,11,4
7/2/2022,29.5,34.1,24.9,0,1006.5,118,16,3
7/1/2022,29.5,34.1,24.9,0,1007.7,126,13,7
6/30/2022,30.1,33.8,26.5,0,1006.6,152,12,8
6/29/2022,30.2,33.8,26.6,0.1,1002.8,178,9,8
6/28/2022,30.4,34.1,26.6,2.3,999.7,217,12,8
6/27/2022,31.9,36,27.8,0,1000.1,187,12,8
6/26/2022,30.1,36,24.3,0,1003.1,174,11,8
6/25/2022,29.3,34.4,24.2,0,1003.2,171,9,7
6/24/2022,28.9,33.7,24.2,0,1003.2,193,9,4
6/23/2022,29.6,33.7,25.5,134.5,1002.8,250,11,8
6/22/2022,29.1,33.5,24.7,0,1003.8,205,12,8
6/21/2022,29.1,33.5,24.7,2.2,1002.8,134,12,6
6/20/2022,30.1,34.8,25.4,0,1001.4,78,9,8
6/19/2022,30.3,35.4,25.2,0,1002.5,91,8,8
6/18/2022,30.3,35.4,25.2,0,1003.5,92,7,7
6/17/2022,29.8,35.4,24.1,0,1004,182,6,6
6/16/2022,27.9,35.4,20.3,0,1005.1,197,7,2
6/15/2022,26.9,33.4,20.3,0,1007.2,171,6,3
6/14/2022,25.6,31.8,19.5,0,1006.2,339,7,4
6/13/2022,23.8,28,19.5,0,1005.2,128,6,8
6/12/2022,24.2,29,19.5,0,1007.8,113,14,8
6/11/2022,24.9,30.2,19.5,0,1010.8,109,14,6
6/10/2022,26.4,31.2,21.5,0,1009.3,127,16,5
6/9/2022,25.2,31.2,19.2,0,1007.5,110,14,7
6/8/2022,24.9,30.6,19.2,0,1007.9,103,15,4
6/7/2022,27.2,33.9,20.6,0,1008.7,62,10,5
6/6/2022,27.2,33.9,20.6,0,1002.6,303,11,5
6/5/2022,26.9,30.5,23.4,6.8,1000.4,358,7,4
6/4/2022,26.9,30.5,23.2,50,1000.9,198,8,8
6/3/2022,27.2,33.5,21,0,1004.3,116,16,8
6/2/2022,27.2,33.5,21,0,1004.2,117,12,4
6/1/2022,24.4,31.6,17.1,0,1004.6,191,6,6
5/31/2022,24.4,31.6,17.1,0,1006,122,10,8
5/30/2022,25,29.9,20.1,8.7,1007.9,60,9,5
5/29/2022,25.4,29.9,20.9,0,1001.1,222,5,6
5/28/2022,24.2,30.2,18.2,0.2,1003.3,165,9,8
5/27/2022,24.1,30.2,18,0,1005.3,51,6,7
5/26/2022,24.4,30.8,18,0,1007.5,48,6,8
5/25/2022,24.4,30.8,18,0.5,1009.6,61,9,7
5/24/2022,23.8,29.6,18,0,1012,106,10,4
5/23/2022,23.9,29.6,18.2,0,1011.1,138,13,5
5/22/2022,23.1,29.6,16.5,0,1008.7,118,11,7
5/21/2022,23.1,29.6,16.5,0,1010.4,128,5,4
5/20/2022,22.9,27.6,18.2,0,1011.5,123,6,4
5/19/2022,22.7,29.4,16,0.4,1014.7,85,5,8
5/18/2022,22.2,29.8,14.6,0,1016.8,135,9,7
5/17/2022,22.1,29.8,14.3,0,1014.9,192,7,1
5/16/2022,20.4,26.5,14.3,0,1014.2,200,7,3
5/15/2022,18.8,23.9,13.6,0,1017.2,349,5,6
5/14/2022,18.6,23.6,13.6,0,1018,67,8,8
5/13/2022,19.4,23.6,15.3,0,1013.7,27,9,7
5/12/2022,19.9,23,16.7,0,1011.3,89,11,7
5/11/2022,18.1,21.2,14.9,0,1014.1,72,9,8
5/10/2022,18.9,23,14.9,0,1013.2,47,8,8
5/9/2022,20.3,25.7,14.9,0,1015.8,92,12,8
5/8/2022,21.3,26.9,15.7,0,1016.5,82,14,8
5/7/2022,24.1,30.6,17.5,0,1017.7,77,14,5
5/6/2022,23.4,30.6,16.1,0,1012.6,112,8,0
5/5/2022,21.9,29.3,14.6,0,1012.7,129,9,0
5/4/2022,21.1,29.2,13.1,0,1015.5,142,9,0
5/3/2022,19.8,27.6,11.9,0,1018.2,147,6,0
5/2/2022,18.8,25.6,11.9,0,1018.2,261,6,1
5/1/2022,17.1,21.2,13.1,0,1018.9,298,5,4
4/30/2022,13.4,17.8,9,0,1020.8,354,9,8
4/29/2022,14.3,19.6,9,0,1020.8,53,8,8
4/28/2022,17.4,22.1,12.8,19.6,1015.4,41,14,8
4/27/2022,21.5,25.6,17.4,0,1015.9,87,17,8
4/26/2022,21.9,25.6,18.1,0,1010,45,9,5
4/25/2022,22.4,28.1,16.7,53.6,1002.6,47,12,7
4/24/2022,22.4,28.1,16.7,22.9,1007.8,120,13,3
4/23/2022,23.1,29.9,16.4,0,1010.3,117,5,4
4/22/2022,22.4,29.9,14.8,5.6,1010.2,205,5,7
4/21/2022,19.6,27.1,12.1,0,1009.6,150,8,0
4/20/2022,18.5,24.9,12.1,0,1012.6,181,5,4
4/19/2022,18.3,23.8,12.8,0,1018.2,312,5,3
4/18/2022,15.8,22.1,9.6,0,1019,299,5,5
4/17/2022,14.7,19.8,9.6,0.1,1019.5,111,9,6
4/16/2022,14,17.8,10.2,0,1021.6,83,9,5
4/15/2022,13.8,18.2,9.5,0,1023.3,28,9,8
