Date,Ave.T,Max.T,Min.T,Prec(mm),Press(Hpa),Wind dir,Wind sp (km/h),Cloud.c
8/23/2022,25.9,29.1,22.6,0,1011.8,8,16,2
8/22/2022,25.2,28.6,21.8,49,1002.9,102,13,2
8/21/2022,25.6,29.5,21.8,0,1004.5,181,12,2
8/20/2022,26.6,30.1,23.1,0,1007.1,336,11,2
8/19/2022,27.4,30.1,24.6,2.2,1002.6,344,13,2
8/18/2022,27.1,31.3,23,0,1004.8,165,13,2
8/17/2022,27.1,31.3,23,0,1007.7,199,10,2
8/16/2022,30.2,34.7,25.7,0,1006.4,235,10,2
8/15/2022,30,34.7,25.3,0.2,1000.9,306,14,2
8/14/2022,27.6,30.8,24.3,0,1001.5,162,10,2
8/13/2022,27,29.8,24.2,50.4,1003.7,133,9,2
8/12/2022,25.2,27.4,23,37.2,1004.6,141,10,2
8/11/2022,23.8,26.3,21.3,46.5,1005.4,44,6,2
8/10/2022,25.1,29,21.3,25.8,1006.1,330,8,2
8/9/2022,27.7,32.3,23.1,34.2,1006,301,7,2
8/8/2022,30,32.3,27.7,16,1004.6,141,7,2
8/7/2022,28.8,32,25.5,0,1003,176,10,2
8/6/2022,29.1,32.6,25.5,0.6,1004.1,176,10,2
8/5/2022,29.5,32.6,26.4,2,1004.6,168,11,2
8/4/2022,28.5,30.6,26.4,0,1006.8,158,11,2
8/3/2022,29.6,33.1,26,0,1008.8,148,9,2
8/2/2022,28.9,33.1,24.7,0,1008.3,172,9,2
8/1/2022,28.8,32.8,24.7,0,1005.3,357,10,2
7/31/2022,28.1,30.5,25.8,1.7,1004.1,12,10,2
7/30/2022,27.8,30.5,25.1,0,1007,94,9,2
7/29/2022,26.5,28.6,24.4,0.1,1009.3,126,8,2
7/28/2022,26.3,29.5,23.1,0,1006.9,153,9,2
7/27/2022,26.3,29.5,23.1,0.1,1005.7,152,8,2
7/26/2022,25.5,27.8,23.2,30.2,1006.8,121,10,2
7/25/2022,26.6,30.9,22.3,0,1008.8,148,10,2
7/24/2022,26.4,30.9,22,0,1006.5,200,11,2
7/23/2022,26.6,31.2,22,1.9,1002,337,13,2
7/22/2022,26.1,31.2,21,7.4,1005.9,175,10,2
7/21/2022,23.8,27.2,20.4,0,1007.7,275,9,2
7/20/2022,24.6,28.7,20.4,18.4,1004.4,357,12,2
7/19/2022,26.1,29.8,22.3,0,1005,139,8,2
7/18/2022,25.1,29.8,20.4,0,1001.3,276,8,2
7/17/2022,24.8,29.1,20.4,7.6,999.8,72,9,2
7/16/2022,28.4,32.2,24.6,11,1000.7,125,7,2
7/15/2022,28.4,32.2,24.6,0,1000.6,57,8,2
7/14/2022,27.1,29.8,24.3,0,1002.2,162,8,2
7/13/2022,27.1,29.8,24.3,0,1001.3,335,12,2
7/12/2022,26.5,28.7,24.3,134.1,1002,131,15,2
7/11/2022,26.3,28.7,23.9,0.2,1005.5,140,10,2
7/10/2022,26.1,28.5,23.7,16.8,1002.8,107,8,2
7/9/2022,27.4,31.5,23.4,0,1003.3,160,11,2
7/8/2022,27.4,31.5,23.3,0,1003.2,181,9,2
7/7/2022,26.9,30.4,23.3,0,1003.4,243,11,2
7/6/2022,25.3,26.9,23.7,1,998.9,161,14,2
7/5/2022,25,26.9,23.1,2,1003.3,117,14,2
7/4/2022,24.2,25.8,22.6,2,1004.9,140,9,2
7/3/2022,23,25.3,20.7,0,1006.6,133,12,2
7/2/2022,23.6,26.5,20.7,0,1009.6,139,12,2
7/1/2022,25.1,27.1,23,77.7,1009.3,144,11,2
6/30/2022,24.8,27.1,22.5,3.9,1006.6,130,9,2
6/29/2022,24.4,26.8,22.1,57.9,1002.4,102,7,2
6/28/2022,23.5,25.1,21.9,12.2,997.3,225,9,2
6/27/2022,24.9,28,21.9,34.7,997.6,177,11,2
6/26/2022,25.7,29,22.4,144.9,1001.6,120,13,2
6/25/2022,27.9,34.6,21.2,0,1000.9,162,13,2
6/24/2022,27.9,34.6,21.2,0,999.8,205,9,2
6/23/2022,24.1,26.9,21.4,27.6,998.1,286,9,2
6/22/2022,22.1,24.3,20,11.7,1002.2,142,12,2
6/21/2022,21.9,23.9,20,0,1004.2,157,14,2
6/20/2022,21.6,23,20.1,0.7,1003.4,166,13,2
6/19/2022,23.4,26.8,20.1,0.7,1004.9,166,15,2
6/18/2022,23.2,26.8,19.6,0,1004.4,160,12,2
6/17/2022,22.2,25.6,18.9,0.6,1003.6,138,15,2
6/16/2022,23.1,27.7,18.4,30.1,1005.5,134,13,2
6/15/2022,22.6,27.7,17.6,0,1007.2,112,14,2
6/14/2022,19.9,22.5,17.3,5.7,1005.1,289,9,2
6/13/2022,20.1,22.5,17.7,11.3,1005.8,133,10,2
6/12/2022,20.8,22.5,19,0,1009.5,139,10,2
6/11/2022,20.9,22.7,19.1,0,1012.4,151,10,2
6/10/2022,20.3,22.5,18.1,1.8,1012,137,11,2
6/9/2022,19.2,21.6,16.8,0,1010.1,141,13,2
6/8/2022,20.4,25.3,15.6,0,1009.4,138,14,2
6/7/2022,20.9,26.2,15.6,0,1009.4,164,12,2
6/6/2022,21.6,26.2,17.1,0,1004,347,17,2
6/5/2022,19.9,21.9,17.9,0.2,1001.3,169,9,2
6/4/2022,19.4,20.7,18.1,4.9,1004.2,112,11,2
6/3/2022,21,23.9,18.1,0.6,1007.5,151,15,2
6/2/2022,21.6,24.9,18.3,0,1005.2,136,13,2
6/1/2022,21.4,24.9,17.9,0,1003.9,152,10,2
5/31/2022,22.6,27.8,17.5,0,1005.1,168,15,2
5/30/2022,22.6,27.8,17.5,0,1006.5,200,14,2
5/29/2022,20.6,23.7,17.6,0.3,1002.3,150,14,2
5/28/2022,23.6,29.3,18,0,1001.2,158,15,2
5/27/2022,21.8,29.3,14.2,0,1002.1,198,13,2
5/26/2022,19.6,24.9,14.2,0,1005,200,11,2
5/25/2022,19.1,21.7,16.4,0.9,1011,337,16,2
5/24/2022,20.3,23,17.6,0,1012.3,161,12,2
5/23/2022,22.9,28,17.7,0,1011.8,153,12,2
5/22/2022,21.6,29.2,13.9,0,1008.2,178,11,2
5/21/2022,19.6,25.2,13.9,0,1008.8,167,12,2
5/20/2022,19.9,24.6,15.3,0.6,1011.2,155,9,2
5/19/2022,22.4,27.8,16.9,0,1013.6,162,11,2
5/18/2022,22.1,27.8,16.3,0,1013.3,215,12,2
5/17/2022,18.8,23.2,14.3,0,1009.8,169,14,2
5/16/2022,17.5,22.8,12.2,0,1009.4,143,9,2
5/15/2022,16.2,20.2,12.2,0.5,1014.5,175,10,2
5/14/2022,16.2,20.2,12.2,0,1017.6,283,7,2
5/13/2022,16.2,20,12.4,2,1014.2,303,9,2
5/12/2022,16.2,20,12.4,0,1013.8,182,7,2
5/11/2022,15.6,19.2,11.9,0,1016.5,140,8,2
5/10/2022,13.1,16.4,9.8,0.7,1015.8,138,7,2
5/9/2022,14.2,18.6,9.8,0.5,1019.1,160,7,2
5/8/2022,15.3,18.6,12.1,0,1020.5,336,9,2
5/7/2022,16.4,20,12.9,0,1022.2,151,8,2
5/6/2022,16.4,20,12.9,0,1015.8,119,12,2
5/5/2022,16.6,20.3,12.9,0,1013.4,147,13,2
5/4/2022,16.1,20.3,11.8,0,1013.9,176,15,2
5/3/2022,15.8,19.7,11.8,0,1015.5,160,15,2
5/2/2022,16.1,20.8,11.5,0,1017.6,147,12,2
5/1/2022,15.9,20.8,11,0,1014,199,9,2
4/30/2022,13.6,18.8,8.3,0,1020.4,321,12,2
4/29/2022,13.3,18.4,8.3,0,1020.1,209,10,2
4/28/2022,14.1,18.4,9.7,1.6,1019.2,333,13,2
4/27/2022,16.9,22.4,11.4,0,1019.7,150,9,2
4/26/2022,17.4,22.4,12.3,0,1011.2,357,13,2
4/25/2022,13.1,16,10.2,0,1006.2,80,9,2
4/24/2022,13.1,16,10.2,0,1008.6,151,14,2
4/23/2022,16.2,21.7,10.8,0,1010.5,156,14,2
4/22/2022,16.8,21.7,11.9,0,1012.1,0,14,2
4/21/2022,15.6,19.2,11.9,0,1006.1,160,15,2
4/20/2022,16.9,22.7,11.2,0,1010.8,165,13,2
4/19/2022,16.9,22.7,11,0,1017.1,179,14,2
4/18/2022,15.4,20.3,10.5,0,1018.7,174,11,2
4/17/2022,14.4,20.3,8.6,0,1019.1,172,9,2
4/16/2022,14.3,20.1,8.6,0,1020.7,214,12,2
4/15/2022,12.7,16.7,8.6,0,1024,341,17,2
4/14/2022,12.8,16.9,8.6,0,1021.3,328,11,2
4/13/2022,13.1,16.9,9.3,0,1016.4,327,14,2
4/12/2022,13.9,17.7,10.1,0.2,1014.6,355,22,2
4/11/2022,14.2,17.7,10.8,0,1007.8,163,15,2
4/10/2022,15.2,19.5,11,0,1009.6,141,15,2
4/9/2022,12.9,19.5,6.4,0,1009.1,162,15,2
4/8/2022,10.3,14.3,6.3,0,1012.6,155,14,2
4/7/2022,9.9,13.5,6.3,0,1019.2,173,15,2
4/6/2022,10.9,14.4,7.4,0,1022,118,13,2
4/5/2022,10.2,12.5,7.8,0,1019.9,139,11,2
4/4/2022,9.6,12.1,7,0,1025,161,14,2
4/3/2022,9.7,13.6,5.8,0,1028.3,160,12,2
4/2/2022,9.4,13.6,5.3,0,1029,220,8,2
4/1/2022,8.9,12.5,5.3,0,1032.5,191,11,2
