Date,Ave.T,Max.T,Min.T,Prec(mm),Press(Hpa),Wind dir,Wind sp (km/h),Cloud.c
8/23/2022,27.3,30,24.6,0,1006.5,217,7,2
8/22/2022,26.4,29.2,23.6,0.4,1007.4,144,9,2
8/21/2022,24.8,27.7,21.9,0,1006.4,148,14,2
8/20/2022,25,28.1,21.9,10.5,1004.7,142,12,2
8/19/2022,26.2,28.9,23.6,15.5,1004.2,156,11,2
8/18/2022,25.8,28.9,22.6,0,1005.5,211,7,2
8/17/2022,26.2,29.9,22.6,0.2,1006.3,180,9,2
8/16/2022,26.9,29.9,24,13.6,1006.2,175,7,2
8/15/2022,26.9,29.4,24.3,0,1006.4,178,10,2
8/14/2022,26.8,29.3,24.3,3.2,1007.6,195,8,2
8/13/2022,26.2,29.3,23.2,0,1008.3,185,7,2
8/12/2022,24.9,27.7,22,13.5,1007.9,69,8,2
8/11/2022,24.9,27.7,22,26,1005.7,95,15,2
8/10/2022,26.2,29.2,23.3,52.7,1001.2,235,19,2
8/9/2022,26.2,29.2,23.3,11.6,1000.4,313,15,2
8/8/2022,26.9,30.6,23.3,32.3,1002.8,47,20,2
8/7/2022,27.1,30.6,23.6,24.9,1004.2,33,14,2
8/6/2022,26,28.4,23.6,0.2,1005.5,70,14,2
8/5/2022,26.1,28.4,23.9,16.9,1005.6,154,9,2
8/4/2022,26.6,29.3,23.9,13.4,1005.6,223,9,2
8/3/2022,27.4,29.9,24.8,0,1007,223,7,2
8/2/2022,27.4,30,24.8,0,1007.7,168,6,2
8/1/2022,27.4,30.2,24.6,0,1006.3,121,12,2
7/31/2022,27.3,30.2,24.4,11.1,1005.1,142,9,2
7/30/2022,27,29.6,24.4,0,1005.3,197,8,2
7/29/2022,27.3,30.4,24.2,0,1006.4,196,5,2
7/28/2022,27.3,30.4,24.2,0,1007.6,215,7,2
7/27/2022,27.2,29.6,24.8,0,1008.2,196,7,2
7/26/2022,27,29.5,24.5,0,1008.5,203,7,2
7/25/2022,26.8,29.5,24,0,1009.1,240,6,2
7/24/2022,26.6,29.5,23.8,0,1008.7,241,7,2
7/23/2022,26.6,29.4,23.8,0,1010.2,204,7,2
7/22/2022,25.4,28.5,22.2,0,1011.6,81,12,2
7/21/2022,25.1,28,22.2,17.4,1011.5,108,17,2
7/20/2022,26.4,29,23.7,2,1008,89,20,2
7/19/2022,27.2,30.4,24,3.9,1005.6,107,17,2
7/18/2022,27.7,30.4,25,0.6,1005,165,9,2
7/17/2022,27.2,29.4,25,0,1006.2,187,6,2
7/16/2022,26.8,29.4,24.1,0.1,1007.2,169,10,2
7/15/2022,26.3,28.5,24.1,0.2,1006.6,133,13,2
7/14/2022,26.3,28.5,24.1,7.9,1004.8,97,19,2
7/13/2022,25.9,28.3,23.6,0.9,1004,66,20,2
7/12/2022,25.9,28.3,23.6,4.1,1004.9,82,22,2
7/11/2022,26.4,28.9,23.8,6.9,1005.4,80,23,2
7/10/2022,26.4,28.9,23.8,9.8,1004.1,54,24,2
7/9/2022,26.6,29.4,23.8,2.5,1004.9,68,14,2
7/8/2022,27.3,30.5,24.1,0,1006,73,14,2
7/7/2022,27.7,30.5,24.9,1.9,1006,163,8,2
7/6/2022,27.2,29.6,24.9,0,1005.7,190,6,2
7/5/2022,27.1,29.6,24.5,0,1004.6,207,11,2
