Date,Ave.T,Max.T,Min.T,Prec(mm),Press(Hpa),Wind dir,Wind sp (km/h),Cloud.c
8/23/2022,33,39.5,26.5,6.2,1007.2,45,10,2
8/22/2022,33.6,39.5,27.7,0,1003.6,170,6,2
8/21/2022,31.9,37.5,26.3,0,1005.1,103,8,2
8/20/2022,33.1,40,26.3,0.4,1005.5,3,9,2
8/19/2022,34.2,40,28.4,0,1003,201,9,2
8/18/2022,31.6,35.1,28,0,1005.1,120,10,2
8/17/2022,33.9,39.8,28,0.1,1006.9,51,8,2
8/16/2022,34.7,39.8,29.6,0.1,1004.7,288,7,2
8/15/2022,34.4,39.7,29.1,0,1002.8,193,13,2
8/14/2022,33.4,39.1,27.7,0,1004.4,152,9,2
8/13/2022,32.6,38.4,26.9,0,1004.9,145,6,2
8/12/2022,33,39.2,26.9,10.4,1005.4,131,5,2
8/11/2022,33.3,39.6,27,0.6,1006,153,4,2
8/10/2022,33.3,39.6,27,12,1005.8,157,8,2
8/9/2022,34.4,39.2,29.6,0,1005.9,179,12,2
8/8/2022,33.1,38.5,27.8,0,1006.7,167,12,2
8/7/2022,32.9,38.5,27.2,0,1005.9,190,12,2
8/6/2022,33.4,39.6,27.2,0.3,1006,238,8,2
8/5/2022,34.5,39.6,29.5,0,1005.6,170,9,2
8/4/2022,33,37.6,28.4,0,1007.3,163,13,2
8/3/2022,32.4,36.4,28.4,0,1008.1,149,12,2
8/2/2022,31.6,35.5,27.8,0,1008.3,127,9,2
8/1/2022,30.9,35.4,26.3,0,1006,92,10,2
7/31/2022,30.4,34.7,26.2,0,1002.4,302,9,2
7/30/2022,30.1,34.1,26.2,20.3,1003.4,9,6,2
7/29/2022,32.2,37.2,27.3,0.7,1006.7,113,9,2
7/28/2022,32.2,37.2,27.2,0,1006.1,133,10,2
7/27/2022,31.6,36.9,26.2,0,1005.9,80,6,2
7/26/2022,31.6,36.9,26.2,0.8,1005.3,174,5,2
7/25/2022,30.1,33.4,26.7,0,1007.5,119,10,2
7/24/2022,32.5,38.4,26.7,0,1006.9,90,7,2
7/23/2022,32.2,38.4,26,0,1003.9,271,13,2
7/22/2022,30.1,34.3,26,0,1006.8,136,9,2
7/21/2022,31.6,37,26.3,2,1008.8,279,7,2
7/20/2022,31.4,37,25.7,0.1,1005.5,252,11,2
7/19/2022,28.4,31.1,25.7,24.2,1005,111,8,2
7/18/2022,31.5,37,26,0.8,1001.6,313,6,2
