Date,Ave.T,Max.T,Min.T,Prec(mm),Press(Hpa),Wind dir,Wind sp (km/h),Cloud.c
8/23/2022,31.6,36.2,26.9,0,1004.7,292,5,2
8/22/2022,30.4,34.5,26.3,0,1006.8,233,7,2
8/21/2022,29.4,33.2,25.5,0,1008.2,159,5,2
8/20/2022,28.9,32.3,25.5,8.3,1008.1,112,6,2
8/19/2022,28.9,32.3,25.6,2,1005.4,52,6,2
8/18/2022,28.8,32.5,25,1.1,1005.5,57,4,2
8/17/2022,29.2,33.4,25,51.1,1006.1,94,4,2
8/16/2022,30.6,34.2,27,0.6,1005.8,67,6,2
8/15/2022,30.1,34.2,26,0,1006.2,213,4,2
8/14/2022,28.8,33.3,24.3,0,1007.2,205,5,2
8/13/2022,28.3,32.3,24.3,1.2,1008.2,189,5,2
8/12/2022,27.4,29.9,24.8,28.6,1009,29,4,2
8/11/2022,27.8,30.7,24.8,16.8,1008.2,62,6,2
8/10/2022,26.9,29.1,24.8,43.7,1005.3,100,6,2
8/9/2022,28.7,32.6,24.8,111.9,1003.5,68,8,2
8/8/2022,29.4,33.3,25.6,10.6,1006.5,90,6,2
8/7/2022,29.1,33.3,24.9,0,1006.9,93,7,2
8/6/2022,27.9,31.6,24.2,18.4,1007.6,67,5,2
8/5/2022,26.5,28.8,24.2,17.1,1008.2,49,5,2
8/4/2022,27.9,31,24.8,122.8,1005.2,115,5,2
8/3/2022,30.4,35,25.9,18.5,1006.3,6,4,2
8/2/2022,30.9,35.1,26.7,1.4,1007.4,20,6,2
8/1/2022,31,35.1,26.9,0,1006.4,10,6,2
7/31/2022,29.3,34.3,24.3,0,1004.7,16,7,2
7/30/2022,29.7,35.1,24.3,4.9,1004.6,12,4,2
7/29/2022,31.6,35.2,28.1,0,1004.6,21,5,2
7/28/2022,31.4,35.2,27.6,0,1005.9,13,8,2
7/27/2022,31.2,34.8,27.6,0,1007.2,10,7,2
7/26/2022,32.3,35.9,28.7,0,1007.6,17,7,2
7/25/2022,32.2,35.9,28.5,0,1007.8,22,7,2
7/24/2022,31.9,35.8,28,0,1007.1,18,7,2
7/23/2022,31.6,35.6,27.6,0,1008.3,21,8,2
7/22/2022,31.6,35.6,27.6,0,1010.4,26,7,2
7/21/2022,30.9,34.3,27.6,0,1012.3,25,7,2
7/20/2022,30.9,34.3,27.6,0,1010.7,20,6,2
7/19/2022,30.2,32.8,27.6,1.8,1007.5,18,5,2
7/18/2022,30.5,32.6,28.4,0,1005.1,18,9,2
7/17/2022,30.1,32.3,27.9,0,1005.3,13,16,2
7/16/2022,30.2,33.2,27.3,1.2,1006.3,7,12,2
7/15/2022,30.7,34.1,27.3,0.1,1006.5,13,8,2
7/14/2022,30.9,34.7,27,1,1006,0,5,2
